field_name,hcfa_box,field_requirement,short_description,likely_source,primary_need,additional_note,phase_or_revenue_cycle,cm_system_extract_requirement,case_management_system,program,state,frequency_of_data_transfer,source,author
Outreach and engagement tracking,N/A,Always,"DHCS requires a specific ""Outreach Tracker File"" for members not yet enrolled.",Service Notes,MCP reporting,"This is likely a “modularized” entry that captures several fields: 
Outreach Date: (MM/DD/YYYY).
Outreach Attempt Type:
• Values: In-Person, Telephonic, Electronic (Text/Email), Mail, Community Settings.
Outreach Outcome:
• Values: Successful (Member reached), Unsuccessful (Voicemail/No Answer), Declined.
Total Minutes of Outreach: Duration of the attempt.
Staff ID: The NPI or ID of the staff member attempting outreach (this can be done via User_assignment tag).",Middle,No,,,,Period Dependent,csv,System Import
Population of Focus indicator,N/A,Always,Members must be tagged to one or more of DHCS-defined populations to justify eligibility.,Intake,MCP reporting,"This can be a boolean selection across one of the multiple POF’s defined by DHCS (e.g. “Individuals experiencing homelessness” or “Severe Mental Illness / Substance Use Disorder”

The system will need to be able to track this historically (e.g. if a patient / client switches POFs, a historical record must be preserved for audit purposes).",Front,No,,,,Period Dependent,csv,System Import
Assigned ECM Provider name,N/A,Always,The name of the “Lead Care Manager” for each patient / client enrolled in ECM,Admin Panel,MCP reporting,"An admin (Manager of ECM services) needs to designate which lead care manager each ECM patient is enrolled with, this is a required field for MCP reporting.",Front,No,,,,Period Dependent,csv,System Import
ECM Discontinuance Reason Code,N/A,Always,Explanation for why a patient / client is no longer receiving ECM services,Service Notes,MCP reporting,"These must conform to DHCS standard reason codes and are required for reporting to MCPs on a discontinuation of services to a patient / client (e.g., ""Member declined,"" ""Unable to contact,"" ""Met goals"").",Middle,No,,,,By Patient,csv,System Import
Race and Ethnicity,N/A,Always,Standardized race / ethnicity code,Intake,Service Delivery,Standardized codes for tracking / reporting / service delivery,Front,No,,,,By Patient,csv,System Import
Housing Assistance Plan,N/A,Alwayss,The plan for navigating a patient from their current homeless status into either interim or permanent housing,Service Notes,Service Delivery,"A structured plan developed at / near intake depending on the program the patient / client is enrolled in. The Housing Assistance Plan will include multiple fields and should ensure compliance with the minimum standards outlined by DHCS and the payer (these standards are loosely defined though there are some required fields). The Housing Assistance Plan is required for the Prior Authorization process, and is also a foundational tool for multiple CS service delivery models.

Similar to the care plan, the Housing Assistance Plan will also need to capture certain administrative data for MCP reporting:

Initial Assessment Date: Date the comprehensive assessment was completed.
Completion Date: Date the individualized care plan was signed/finalized.
Update Date: Date of the most recent revision.
Case Manager Information:
• Name.
• Contact Phone/Email.",Middle,No,,,,By Patient,csv,System Import
Care Plan,N/A,Alwayss,The plan for managing the patient / client’s needs specific to their program enrollment,Service Notes,Service Delivery,"A structured plan developed at / near intake depending on the program the patient / client is enrolled in. The care plan will include multiple fields and should ensure compliance with the minimum standards outlined by DHCS and the payer. The Care Plan is required for the Prior Authorization process, and is also a foundational tool for ECM and many CS service delivery models. 

Beyond the service content, this care plan will also need to capture certain administrative dates required for MCP reporting:

Initial Assessment Date: Date the comprehensive assessment was completed.
Care Plan Completion Date: Date the individualized care plan was signed/finalized.
Care Plan Update Date: Date of the most recent revision.
Lead Care Manager (LCM) Information:
• LCM Name.
• LCM Contact Phone/Email.
• LCM NPI (if clinical).",Middle,No,,,,By Patient,csv,System Import
Auth Required?,N/A,Alwayss,Does the CPT Code require authorization?,"Contract Details, RCM Module",Billing,"This is not a required field in a claim, but is essential for general revenue cycle management. Identifying when a service requires a prior authorization is essential and should trigger a parallel prior authorization workflow by, ideally, a single individual inside the organization that will complete two steps: submit the prior authorization request through the payer portal (this is a manual process, unfortunately), and log the prior authorization request details into the prior authorization module inside of DSS’s RCM tool). Once that Prior Auth is then approved, a PA Number and the effective dates for the PA can be updated in the PA module, and the claiming tool will begin to process those claims accordingly (e.g. the submission tool will have held back claims for any service that do not have an active PA).",Back,No,,,,By Encounter,csv,System Import
Payer Code,N/A,Alwayss,Code used to identify a payer for claims submission interface.,"Admin Panel, RCM Module",Billing,"The national payer code used to route claims to the correct payer (e.g. HealthNet claims are submitted to Centene’s NPI unless you are in WA, etc…)",Back,No,,,,One-Time,csv,System Import
Patient's Sex,3.1,Alwayss,M or F,Intake,"Billing, Service Delivery","This can be coded any number of ways in the case management system, but back-end logic will need to transform all inputted values into either binary sex of: M or F",Front,Yes,CCS,"CHW, CS: HD, CS: HTNS, CS: HTS, Enhanced Care Management",CA,By Patient,csv,System Import
